model,rmse,mae,bias,directional_accuracy,n
bridge,7.097568478039775,4.223807082210988,-1.1255039907177775,0.5472756410256411,1296
dfm,9.690438630915102,6.6207673324245935,3.68868896279565,0.5384615384615384,1296
pooled_mean,9.782320421557094,5.102986879305111,-0.5913647596234106,0.375,1296
state_mean,9.796725097975084,5.120616767619541,-0.5913647596234106,0.25721153846153844,1296
national_bridge,9.860639680787296,5.284113828541771,0.6874309120439883,0.42788461538461536,1296
peer_average,14.819768103988732,7.160659168714352,0.07666294035963525,0.4407051282051282,1296
random_walk,15.407630085457672,7.860432486018939,0.07666294035963564,0.3349358974358974,1296
ar1,16.253622364785116,7.180189827203189,-2.6486617798115333,0.5689102564102564,1296
