source_state,target_state,indicator,lead_quarters,correlation,observations
NC,WA,coincident,1,-0.6105709168373687,39
MT,WV,coincident,1,-0.6102869712110052,39
LA,AL,coincident,1,-0.6097422286562779,39
GA,SC,coincident,1,-0.6094178910643849,39
MD,WV,coincident,1,-0.6085683116621908,39
VA,KY,coincident,1,-0.608225868047355,39
KS,WA,coincident,1,-0.6078932886644859,39
RI,AL,coincident,1,-0.6070655958822155,39
ID,MS,coincident,1,-0.6067424226082002,39
WI,IN,coincident,1,-0.606696557814435,39
AR,TN,coincident,1,-0.6066854630330039,39
GA,ID,coincident,1,-0.6062944179654705,39
VT,AL,coincident,1,-0.606249018446978,39
MN,SC,coincident,1,-0.6062012884255756,39
ND,ID,coincident,1,-0.6059282387191272,39
MA,WA,coincident,1,-0.605315816164319,39
MO,MS,coincident,1,-0.6052445048717054,39
MT,PA,coincident,1,-0.6050571417888434,39
MT,MO,coincident,1,-0.6048384442514478,39
ME,WA,coincident,1,-0.6048224752274329,39
NC,ID,coincident,1,-0.6046669740055792,39
NY,NC,coincident,1,-0.6045136303405535,39
NJ,KY,coincident,1,-0.604256310310769,39
MT,ME,coincident,1,-0.6041047135485733,39
CA,MI,coincident,1,-0.6040793299053151,39
ME,AL,coincident,1,-0.6038062653652614,39
GA,IN,coincident,1,-0.6033061737314174,39
MD,TN,coincident,1,-0.6032301826933494,39
MO,KY,coincident,1,-0.6030049331719929,39
NH,KY,coincident,1,-0.6028648509204839,39
OR,IN,coincident,1,-0.6027676991133635,39
GA,AR,coincident,1,-0.6027040760550004,39
OK,WA,coincident,1,-0.6024655349296245,39
OK,AR,coincident,1,-0.6022583175162064,39
NC,OH,coincident,1,-0.6019837300321651,39
AR,WI,coincident,1,-0.6015343876916884,39
LA,KY,coincident,1,-0.6009164978199681,39
CO,IN,coincident,1,-0.6005928860325453,39
ME,MI,coincident,1,-0.6003862912730865,39
VA,MS,coincident,1,-0.6001012306244697,39
GA,OH,coincident,1,-0.5999041039771357,39
AR,WV,coincident,1,-0.5996426462572312,39
NY,TN,coincident,1,-0.5994459465598715,39
PA,WA,coincident,1,-0.5993518999940337,39
AZ,MS,coincident,1,-0.5993227142200418,39
VA,SC,coincident,1,-0.5991326984374833,39
AZ,SC,coincident,1,-0.5991116848703116,39
VT,MI,coincident,1,-0.5983454667260729,39
PA,SC,coincident,1,-0.5983348911967851,39
PA,IN,coincident,1,-0.5981474322567862,39
ID,AR,coincident,1,-0.5980653492036453,39
RI,SC,coincident,1,-0.5979087630012965,39
TN,KY,coincident,1,-0.5978694223463972,39
NH,WA,coincident,1,-0.5978653651209213,39
AZ,KY,coincident,1,-0.5976488843687946,39
ND,IN,coincident,1,-0.5975368696461781,39
NJ,AR,coincident,1,-0.5971063135002417,39
MT,TN,coincident,1,-0.5970466518001443,39
MA,WV,coincident,1,-0.5970289787471724,39
OR,ID,coincident,1,-0.5964915690787794,39
MN,WA,coincident,1,-0.5961165857199694,39
SD,MS,coincident,1,-0.59581230274305,39
UT,MI,coincident,1,-0.595712742779545,39
MA,ID,coincident,1,-0.595710583044764,39
OK,IN,coincident,1,-0.5953870065799485,39
NH,SC,coincident,1,-0.5953410719096939,39
LA,IN,coincident,1,-0.5952661074348767,39
AR,MO,coincident,1,-0.5952573924361081,39
LA,ID,coincident,1,-0.5950764565349059,39
PA,AR,coincident,1,-0.5950729573787775,39
WI,AR,coincident,1,-0.5950085020855763,39
RI,KY,coincident,1,-0.5948938958256397,39
TN,SC,coincident,1,-0.5948688597809738,39
VT,WA,coincident,1,-0.594487708107334,39
NY,WV,coincident,1,-0.5943318106673469,39
AR,NC,coincident,1,-0.5942829852562076,39
IA,IN,coincident,1,-0.5939026713120331,39
PA,ID,coincident,1,-0.5929941069413038,39
SC,AL,coincident,1,-0.5929458136008748,39
AR,ME,coincident,1,-0.5928599987861807,39
NJ,MS,coincident,1,-0.592651748537394,39
WI,ID,coincident,1,-0.5919234458867902,39
WI,OH,coincident,1,-0.5915380701343398,39
MO,AR,coincident,1,-0.5910934014638165,39
CO,SC,coincident,1,-0.5910646331081302,39
FL,AL,coincident,1,-0.5909548398292552,39
CA,AL,coincident,1,-0.5902167915196629,39
MA,IN,coincident,1,-0.5900681766962048,39
MT,AR,coincident,1,-0.589864978960642,39
MD,MO,coincident,1,-0.5896671128354997,39
MT,NC,coincident,1,-0.5894373076967743,39
SD,IN,coincident,1,-0.5894208004669024,39
LA,MS,coincident,1,-0.589216857360236,39
SC,MI,coincident,1,-0.5881278398676968,39
RI,MS,coincident,1,-0.5879949465894948,39
MN,ID,coincident,1,-0.5876628374540609,39
TN,MS,coincident,1,-0.5872277926260154,39
KS,IN,coincident,1,-0.5871487822274398,39
LA,SC,coincident,1,-0.5870646374941989,39
MT,VT,coincident,1,-0.5867220759603229,39
VT,AR,coincident,1,-0.5863840152365574,39
ND,AR,coincident,1,-0.5861245419541552,39
MT,AZ,coincident,1,-0.586110947814995,39
WI,NC,coincident,1,-0.5860995891090375,39
TX,MS,coincident,1,-0.5860791824922408,39
LA,AR,coincident,1,-0.5860081694730122,39
MD,NC,coincident,1,-0.5857083414181569,39
NM,MI,coincident,1,-0.5856502109170999,39
NH,MS,coincident,1,-0.5855060874705496,39
KS,AR,coincident,1,-0.5854907709081135,39
MO,SC,coincident,1,-0.5851293296165427,39
NJ,SC,coincident,1,-0.5849339785406186,39
WI,WV,coincident,1,-0.5848958409785922,39
KS,WV,coincident,1,-0.584826979146238,39
MN,IN,coincident,1,-0.5847070295576421,39
IA,NC,coincident,1,-0.5846213627985597,39
CO,ID,coincident,1,-0.5838031017947207,39
AR,AZ,coincident,1,-0.5837796783951684,39
NJ,IN,coincident,1,-0.5836805705405407,39
NY,MO,coincident,1,-0.583395600259364,39
NY,VT,coincident,1,-0.5833065786691584,39
OH,MI,coincident,1,-0.5829362027177355,39
SD,WV,coincident,1,-0.5828607726195669,39
MO,WA,coincident,1,-0.5827641910217639,39
ND,OH,coincident,1,-0.5825740392871207,39
KS,ID,coincident,1,-0.5820342447113449,39
VA,IN,coincident,1,-0.5820051670552803,39
AR,PA,coincident,1,-0.5812841825342323,39
UT,AL,coincident,1,-0.5810622365607795,39
CA,MS,coincident,1,-0.580989730018378,39
AR,MT,coincident,1,-0.5808872129549829,39
TX,AL,coincident,1,-0.580847981173409,39
OH,AL,coincident,1,-0.5807402839409656,39
ID,IN,coincident,1,-0.5804607649813686,39
VA,AR,coincident,1,-0.5804154792815311,39
MN,AR,coincident,1,-0.5800925016510994,39
PA,OH,coincident,1,-0.5794082671684466,39
OR,OH,coincident,1,-0.5791149356409984,39
MT,WA,coincident,1,-0.5787912205560216,39
OR,WV,coincident,1,-0.5787081519789469,39
LA,OH,coincident,1,-0.5786377138346869,39
VA,ID,coincident,1,-0.5782306642963467,39
OR,NC,coincident,1,-0.5782203330628175,39
MN,OH,coincident,1,-0.5780771853350837,39
MS,MI,coincident,1,-0.5780674636678159,39
AZ,AR,coincident,1,-0.5779959072936768,39
MD,WI,coincident,1,-0.5779265331167477,39
AR,VT,coincident,1,-0.577884918735135,39
IA,OH,coincident,1,-0.5774826367091977,39
MD,PA,coincident,1,-0.5774527262847928,39
KS,OH,coincident,1,-0.5773878057521343,39
MA,AR,coincident,1,-0.577215383428275,39
ID,ID,coincident,1,-0.5771767774463562,39
CA,AR,coincident,1,-0.5769850246477746,39
ME,MS,coincident,1,-0.5768317488438813,39
FL,KY,coincident,1,-0.5766356748772975,39
CO,WV,coincident,1,-0.5765503596394588,39
VT,SC,coincident,1,-0.5764961978959914,39
IA,ID,coincident,1,-0.5759936871024889,39
VT,KY,coincident,1,-0.5759673162251816,39
SD,ID,coincident,1,-0.5759628724984488,39
TN,WA,coincident,1,-0.5758939924483669,39
MD,AZ,coincident,1,-0.5758466484093758,39
FL,SC,coincident,1,-0.5758067529819664,39
NC,NC,coincident,1,-0.5756485654115103,39
NY,WI,coincident,1,-0.5755510900476984,39
MI,AL,coincident,1,-0.5755448486115324,39
MA,OH,coincident,1,-0.5751136687490506,39
ME,KY,coincident,1,-0.5745748736042777,39
TX,AR,coincident,1,-0.5745281311151789,39
NY,PA,coincident,1,-0.5741997987420593,39
NM,MS,coincident,1,-0.5741982029941255,39
VA,WA,coincident,1,-0.5738588548189228,39
SD,OH,coincident,1,-0.5737334209513458,39
VT,MS,coincident,1,-0.5736492142049188,39
GA,WA,coincident,1,-0.5736055481153908,39
KS,NC,coincident,1,-0.5735320065064211,39
RI,ID,coincident,1,-0.5734455537828858,39
TX,IN,coincident,1,-0.5732682143502574,39
UT,MS,coincident,1,-0.5729866351929054,39
RI,IN,coincident,1,-0.5728787181816745,39
NY,ME,coincident,1,-0.5728762242840257,39
AZ,WA,coincident,1,-0.5725727561169578,39
MO,IN,coincident,1,-0.5716420692698716,39
ID,NC,coincident,1,-0.5713325250828818,39
