model,rmse,mae,bias,directional_accuracy,n,target_transform,nowcast_lag_days
random_walk,1.4150366419241367,1.1265467909771427,0.039722264633487,0.4230769230769231,54,qoq_ann,75
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,15
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,15
dfm,0.38562843596370455,0.29846888877025024,0.035407439271693895,0.5434782608695652,48,yoy,15
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,15
bridge,0.48011752844621625,0.37288694848505277,-0.11614035458940541,0.5652173913043478,48,yoy,15
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,15
national_bridge,0.5383496213336216,0.42480397286814325,0.007377429155781133,0.5,48,yoy,15
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,15
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,45
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,45
dfm,0.39089614203544626,0.29724628253440744,0.030576560088391696,0.5217391304347826,48,yoy,45
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,45
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,45
bridge,0.5122850079042361,0.4245876177470054,-0.13984620087533464,0.5,48,yoy,45
national_bridge,0.5331944039840516,0.4210115376889039,0.011389700573545844,0.5,48,yoy,45
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,45
ar1,0.3357321174290069,0.2795448325030172,0.0023244063347213455,0.4782608695652174,48,yoy,75
random_walk,0.34552996821230136,0.2875756872026016,-0.004709245797269307,0.4782608695652174,48,yoy,75
dfm,0.390521477941587,0.29831289470569095,0.038935371538907394,0.45652173913043476,48,yoy,75
pooled_mean,0.4362687050180221,0.3669126849412591,-0.13868608163812587,0.43478260869565216,48,yoy,75
state_mean,0.49093821655638065,0.39058944769083975,-0.13868608163812587,0.45652173913043476,48,yoy,75
bridge,0.5122850079042361,0.4245876177470054,-0.13984620087533464,0.5,48,yoy,75
national_bridge,0.5331944039840516,0.4210115376889039,0.011389700573545844,0.5,48,yoy,75
peer_average,0.5605275614779757,0.45306521894478863,-0.004709245797269307,0.5652173913043478,48,yoy,75
